20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C75C 51 036 Emulator6502=[  PC: 51036, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C75D 51 037 Emulator6502=[  PC: 51037, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C75F 51 039 Emulator6502=[  PC: 51039, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C761 51 041 Emulator6502=[  PC: 51041, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C768 51 048 Emulator6502=[  PC: 51048, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C769 51 049 Emulator6502=[  PC: 51049, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C76B 51 051 Emulator6502=[  PC: 51051, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C771 51 057 Emulator6502=[  PC: 51057, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C772 51 058 Emulator6502=[  PC: 51058, SP: 253, A: 64, X: 0, Y: 0, SR:24, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C774 51 060 Emulator6502=[  PC: 51060, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C776 51 062 Emulator6502=[  PC: 51062, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C77D 51 069 Emulator6502=[  PC: 51069, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C77E 51 070 Emulator6502=[  PC: 51070, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C780 51 072 Emulator6502=[  PC: 51072, SP: 253, A: 255, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C782 51 074 Emulator6502=[  PC: 51074, SP: 253, A: 255, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C784 51 076 Emulator6502=[  PC: 51076, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C78A 51 082 Emulator6502=[  PC: 51082, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C78B 51 083 Emulator6502=[  PC: 51083, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C78D 51 085 Emulator6502=[  PC: 51085, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C78F 51 087 Emulator6502=[  PC: 51087, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C796 51 094 Emulator6502=[  PC: 51094, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C797 51 095 Emulator6502=[  PC: 51095, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C799 51 097 Emulator6502=[  PC: 51097, SP: 253, A: 0, X: 0, Y: 0, SR:66, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C79B 51 099 Emulator6502=[  PC: 51099, SP: 253, A: 0, X: 0, Y: 0, SR:66, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C79D 51 101 Emulator6502=[  PC: 51101, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7A3 51 107 Emulator6502=[  PC: 51107, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7A4 51 108 Emulator6502=[  PC: 51108, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7A6 51 110 Emulator6502=[  PC: 51110, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7A8 51 112 Emulator6502=[  PC: 51112, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7AF 51 119 Emulator6502=[  PC: 51119, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7B0 51 120 Emulator6502=[  PC: 51120, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7B2 51 122 Emulator6502=[  PC: 51122, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7B8 51 128 Emulator6502=[  PC: 51128, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7B9 51 129 Emulator6502=[  PC: 51129, SP: 253, A: 0, X: 0, Y: 0, SR:26, SR=[  N: 0, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7BB 51 131 Emulator6502=[  PC: 51131, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7BD 51 133 Emulator6502=[  PC: 51133, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
